# Époque    Perte_totale    Perte_reconstruction    Perte_KL
1          0.890705        0.687878                0.202826
2          0.682340        0.682254                0.000086
3          0.681777        0.681766                0.000011
4          0.681581        0.681570                0.000011
5          0.681487        0.681478                0.000009
6          0.681395        0.681389                0.000006
7          0.681355        0.681350                0.000005
8          0.681315        0.681312                0.000003
9          0.681370        0.681367                0.000003
10         0.681180        0.681178                0.000002
