# Époque    Perte_totale    Perte_reconstruction    Perte_KL
1          1.256320        0.687303                0.569016
2          0.683068        0.682882                0.000186
3          0.682334        0.682314                0.000020
4          0.681970        0.681953                0.000016
5          0.681615        0.681597                0.000018
6          0.681753        0.681735                0.000018
7          0.681526        0.681510                0.000017
8          0.681723        0.681708                0.000015
9          0.681437        0.681424                0.000013
10         0.681322        0.681311                0.000011
11         0.681120        0.681109                0.000011
12         0.681310        0.681300                0.000009
13         0.681719        0.681712                0.000007
14         0.681532        0.681526                0.000006
15         0.681280        0.681274                0.000006
