# Époque    Perte_totale    Perte_reconstruction    Perte_KL
1          0.713313        0.692859                0.020454
2          0.696832        0.692340                0.004492
3          0.694688        0.691822                0.002866
4          0.693290        0.691357                0.001933
5          0.692198        0.690880                0.001319
6          0.691380        0.690457                0.000923
7          0.690707        0.690041                0.000666
8          0.690139        0.689641                0.000498
9          0.689663        0.689279                0.000385
10         0.689151        0.688847                0.000304
11         0.688778        0.688531                0.000248
12         0.688415        0.688209                0.000206
13         0.688051        0.687877                0.000174
14         0.687779        0.687629                0.000150
15         0.687452        0.687322                0.000130
16         0.687073        0.686959                0.000114
17         0.686878        0.686777                0.000101
18         0.686557        0.686467                0.000090
19         0.686365        0.686284                0.000082
20         0.686155        0.686081                0.000074
21         0.685898        0.685830                0.000068
22         0.685711        0.685648                0.000062
23         0.685614        0.685560                0.000054
24         0.685684        0.685641                0.000043
25         0.685443        0.685404                0.000040
26         0.685413        0.685376                0.000038
27         0.685280        0.685244                0.000035
28         0.685044        0.685011                0.000033
29         0.684921        0.684890                0.000031
30         0.684936        0.684906                0.000030
